WER/EER Summary
Generated: 2026-03-09 16:50:42
Config: list3, speaker1
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.0494               6.95              38.93
pitch                       4     0.0494               6.06              28.33
pitch                       5     0.0370               6.95              21.20
pitch                       6     0.0247               6.95              10.77
pitch                       7     0.0123               6.06               7.00
pitch                       8     0.0000               6.06               6.06
pitch                       9     0.0123               6.95               8.23
pitch                      10     0.0370               6.95              10.43
pitch                      11     0.0494               6.95              25.95
pitch                      12     0.0741               6.95              51.91
pitch                      13     0.0617               6.95              71.84
pitch                      14     0.0864               6.95              72.77
pitch                      15     0.0864               6.95              71.84
formant                     3     0.0000               6.95               6.95
formant                     4     0.0247               6.06               7.00
formant                     5     0.0000               6.95               6.95
formant                     6     0.0123               6.06               6.06
formant                     7     0.0123               6.95               6.95
formant                     8     0.0123               6.95               6.95
formant                     9     0.0000               6.95               6.95
formant                    10     0.0123               6.06               6.06
formant                    11     0.0123               6.95               6.95
formant                    12     0.0123               6.95               6.95
formant                    13     0.0000               6.95               6.95
formant                    14     0.0247               6.95               6.95
formant                    15     0.0000               6.95               6.95
mcadams                     3     0.0988               6.95              10.77
mcadams                     4     0.0864               6.95              14.25
mcadams                     5     0.0864               6.06              13.05
mcadams                     6     0.1481               6.95              15.18
mcadams                     7     0.1111               6.02              16.45
mcadams                     8     0.2716               6.95              11.70
mcadams                     9     0.1358               6.06              19.11
mcadams                    10     0.0864               6.95              18.66
mcadams                    11     0.0741               6.95              10.77
mcadams                    12     0.0988               6.06               8.62
mcadams                    13     0.0864               7.30              15.18
mcadams                    14     0.0741               6.95              14.25
mcadams                    15     0.1111               6.95              14.25
pitch+formant               3     0.0617               6.95              35.46
pitch+formant               4     0.0494               6.95              26.89
pitch+formant               5     0.0494               6.95              16.45
pitch+formant               6     0.0370               6.95              10.43
pitch+formant               7     0.0370               6.06               7.00
pitch+formant               8     0.0000               6.95               6.95
pitch+formant               9     0.0123               6.95               6.95
pitch+formant              10     0.0370               6.95              10.77
pitch+formant              11     0.0247               7.00              24.83
pitch+formant              12     0.0617               6.95              58.86
pitch+formant              13     0.0617               6.95              67.09
pitch+formant              14     0.1852               6.95              75.32
pitch+formant              15     0.1358               6.95              68.36
pitch+mcadams               3     0.0864               6.95              35.46
pitch+mcadams               4     0.1605               6.95              49.36
pitch+mcadams               5     0.1605               6.95              44.61
pitch+mcadams               6     0.1235               6.95              31.98
pitch+mcadams               7     0.1235               6.95              23.41
pitch+mcadams               8     0.2346               6.06              11.77
pitch+mcadams               9     0.1728               6.95              30.36
pitch+mcadams              10     0.2099               6.95              45.89
pitch+mcadams              11     0.1235               6.06              57.34
pitch+mcadams              12     0.1235               6.95              76.25
pitch+mcadams              13     0.1852               6.95              77.86
pitch+mcadams              14     0.2593               6.95              80.07
pitch+mcadams              15     0.3333               6.95              77.52
formant+mcadams             3     0.1358               6.06               9.56
formant+mcadams             4     0.4198               6.95              27.23
formant+mcadams             5     0.3951               6.95              25.61
formant+mcadams             6     0.5309               6.06              25.17
formant+mcadams             7     0.5679               6.06              26.11
formant+mcadams             8     0.2469               6.95              12.98
formant+mcadams             9     0.4938               6.95              25.61
formant+mcadams            10     0.7407               6.95              36.73
formant+mcadams            11     0.0741               6.95              12.98
formant+mcadams            12     0.6667               6.06              32.17
formant+mcadams            13     0.3951               6.95              21.20
formant+mcadams            14     0.5432               6.95              28.50
formant+mcadams            15     0.5185               5.72              23.55
pitch+formant+mcadams       3     0.0988               6.95              41.14
pitch+formant+mcadams       4     0.9259               6.06              57.34
pitch+formant+mcadams       5     0.5926               6.02              54.11
pitch+formant+mcadams       6     0.5556               6.95              43.68
pitch+formant+mcadams       7     0.6296               6.95              28.50
pitch+formant+mcadams       8     0.2593               6.95              11.70
pitch+formant+mcadams       9     0.7778               6.06              43.00
pitch+formant+mcadams      10     0.8148               6.06              60.84
pitch+formant+mcadams      11     0.0741               6.06              64.33
pitch+formant+mcadams      12     1.0000               6.95              89.57
pitch+formant+mcadams      13     0.8025               6.95              81.34
pitch+formant+mcadams      14     0.9383               6.95              89.23
pitch+formant+mcadams      15     0.9506               6.95              83.55
