WER/EER Summary
Generated: 2026-03-09 16:50:50
Config: list3, speaker2
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.0886               4.90              36.83
pitch                       4     0.0375               4.86              19.77
pitch                       5     0.0125               4.86               4.86
pitch                       6     0.0123               0.00               1.50
pitch                       7     0.0125               4.86               4.86
pitch                       8     0.0000               4.86               4.86
pitch                       9     0.0500               4.86               4.86
pitch                      10     0.0247               3.35               3.35
pitch                      11     0.0125               3.35               3.35
pitch                      12     0.0500               3.35               4.86
pitch                      13     0.0500               4.86               9.71
pitch                      14     0.0750               4.86              21.27
pitch                      15     0.1500               4.86              34.34
formant                     3     0.0000               4.86               4.86
formant                     4     0.0125               4.86               4.86
formant                     5     0.0000               4.86               4.86
formant                     6     0.0000               6.70               6.70
formant                     7     0.0000               6.70               6.70
formant                     8     0.0000               4.86               4.86
formant                     9     0.0125               3.35               3.35
formant                    10     0.0750               1.50               1.50
formant                    11     0.0988               0.00               0.00
formant                    12     0.0667               0.00               0.00
formant                    13     0.0000               0.00               0.00
formant                    14     0.0833               0.00               0.00
formant                    15     0.0250               0.00               0.00
mcadams                     3     0.1705               0.00               1.50
mcadams                     4     0.1687               0.00               1.50
mcadams                     5     0.1358               0.00               3.35
mcadams                     6     0.1975               0.00               3.35
mcadams                     7     0.2727               0.00               1.50
mcadams                     8     0.2222              34.00               3.35
mcadams                     9     0.2250               1.50               3.01
mcadams                    10     0.2000               1.50               3.35
mcadams                    11     0.1341               1.50               1.50
mcadams                    12     0.1750               1.50               3.35
mcadams                    13     0.1220               0.00               3.35
mcadams                    14     0.2561               1.50               3.01
mcadams                    15     0.1605               1.50               3.35
pitch+formant               3     0.0494               0.00              40.70
pitch+formant               4     0.0741               0.00              13.06
pitch+formant               5     0.0843               1.50               3.35
pitch+formant               6     0.0779               0.00               1.50
pitch+formant               7     0.0244               3.35               3.35
pitch+formant               8     0.0000               0.00               0.00
pitch+formant               9     0.0366               0.00               0.00
pitch+formant              10     0.0125               0.00               0.00
pitch+formant              11     0.1071               0.00              34.00
pitch+formant              12     0.2800               0.00               4.86
pitch+formant              13     0.1375               1.50               8.21
pitch+formant              14     0.1341               0.00              16.07
pitch+formant              15     0.1375               0.00              27.98
pitch+mcadams               3     0.5417               0.00              33.17
pitch+mcadams               4     0.5122               0.00              24.62
pitch+mcadams               5     0.2375               1.50              16.07
pitch+mcadams               6     0.2561               1.50               4.86
pitch+mcadams               7     0.2125               0.00               1.50
pitch+mcadams               8     0.1585               0.00               3.35
pitch+mcadams               9     0.3171               1.50               1.50
pitch+mcadams              10     0.2976               0.00               4.86
pitch+mcadams              11     0.2195               1.50               9.71
pitch+mcadams              12     0.1728               1.50              16.07
pitch+mcadams              13     0.2716               1.50              27.63
pitch+mcadams              14     0.2222               1.50              29.48
pitch+mcadams              15     0.3133               0.00              42.89
formant+mcadams             3     0.1951               0.00               3.35
formant+mcadams             4     0.4268               1.50               4.86
formant+mcadams             5     0.4938               1.50               3.35
formant+mcadams             6     1.0000               1.50               6.70
formant+mcadams             7     0.5422               3.35               6.36
formant+mcadams             8     0.1375               0.00               4.86
formant+mcadams             9     1.0000               1.50               6.70
formant+mcadams            10     1.0000               1.50               6.70
formant+mcadams            11     0.2289               0.00               3.35
formant+mcadams            12     1.0000              34.00               8.21
formant+mcadams            13     0.0000               1.50               1.50
formant+mcadams            14     0.0000               1.50               1.50
formant+mcadams            15     0.0000               1.50               1.50
pitch+formant+mcadams       3     0.0000               1.50               1.50
pitch+formant+mcadams       4     0.0000               0.00               0.00
pitch+formant+mcadams       5     0.0000               1.50               1.50
pitch+formant+mcadams       6     0.0000               1.50               1.50
pitch+formant+mcadams       7     0.0000               1.50               1.50
pitch+formant+mcadams       8     0.0000               1.50               1.50
pitch+formant+mcadams       9     0.0854               1.50               1.50
pitch+formant+mcadams      10     0.0000               1.50               1.50
pitch+formant+mcadams      11     0.3119               1.50               1.50
pitch+formant+mcadams      12     1.0000               1.50              26.13
pitch+formant+mcadams      13     0.6214               1.50              34.68
pitch+formant+mcadams      14     1.0000               1.50              52.26
pitch+formant+mcadams      15     1.0000               1.50              37.69
