WER/EER Summary
Generated: 2026-03-09 16:50:55
Config: list3, speaker3
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.1899               0.00              25.89
pitch                       4     0.1392               0.00              16.55
pitch                       5     0.0633               0.00               5.77
pitch                       6     0.0385               0.00               1.44
pitch                       7     0.0253               0.00               0.00
pitch                       8     0.0000               0.00               0.00
pitch                       9     0.0500               0.00               0.00
pitch                      10     0.0506               0.00               1.44
pitch                      11     0.0253               0.00               1.44
pitch                      12     0.0633               0.00               4.67
pitch                      13     0.0375               0.00              10.78
pitch                      14     0.0385               0.00               7.21
pitch                      15     0.1000               0.00              24.11
formant                     3     0.0000               0.00               0.00
formant                     4     0.0000               0.00               0.00
formant                     5     0.0253               0.00               0.00
formant                     6     0.0380               0.00               0.00
formant                     7     0.0125               0.00               0.00
formant                     8     0.0127               0.00               0.00
formant                     9     0.0000               0.00               0.00
formant                    10     0.0125               0.00               0.00
formant                    11     0.0253               0.00               0.00
formant                    12     0.0000               0.00               0.00
formant                    13     0.0253               0.00               0.00
formant                    14     0.0128               0.00               0.00
formant                    15     0.0250               0.00               0.00
mcadams                     3     0.1013               0.00               0.00
mcadams                     4     0.2051               0.00               0.00
mcadams                     5     0.2025               0.00               0.00
mcadams                     6     0.0759               0.00               0.00
mcadams                     7     0.0897               0.00               0.00
mcadams                     8     0.1519               0.00               0.00
mcadams                     9     0.1266               0.00               0.00
mcadams                    10     0.0886               0.00              34.00
mcadams                    11     0.0253               0.00               0.00
mcadams                    12     0.1392               0.00               0.00
mcadams                    13     0.1000               0.00               0.00
mcadams                    14     0.1013               0.00               0.00
mcadams                    15     0.0759               0.00               0.00
pitch+formant               3     0.1923               0.00              28.44
pitch+formant               4     0.0886               0.00              13.33
pitch+formant               5     0.0513               0.00               9.00
pitch+formant               6     0.0385               0.00               1.44
pitch+formant               7     0.0125               0.00               0.00
pitch+formant               8     0.0000               0.00               0.00
pitch+formant               9     0.0253               0.00               0.00
pitch+formant              10     0.0127               0.00               1.44
pitch+formant              11     0.0380               0.00               4.67
pitch+formant              12     0.0641               0.00              12.22
pitch+formant              13     0.0506               0.00               7.56
pitch+formant              14     0.0506               0.00              10.44
pitch+formant              15     0.0886               0.00              24.11
pitch+mcadams               3     0.3077               0.00              30.56
pitch+mcadams               4     0.4231               0.00              21.22
pitch+mcadams               5     0.1646               0.00              12.22
pitch+mcadams               6     0.1392               0.00               3.23
pitch+mcadams               7     0.2405               0.00               1.44
pitch+mcadams               8     0.1899               0.00               0.00
pitch+mcadams               9     0.1646               0.00              34.00
pitch+mcadams              10     0.1795               0.00               1.78
pitch+mcadams              11     0.0506               0.00               7.56
pitch+mcadams              12     0.0633               0.00              10.44
pitch+mcadams              13     0.1500               0.00              10.44
pitch+mcadams              14     0.1500               0.00              13.67
pitch+mcadams              15     0.1519               0.00              25.55
formant+mcadams             3     0.0633               0.00               0.00
formant+mcadams             4     0.2785               0.00               1.44
formant+mcadams             5     0.2500               0.00              34.00
formant+mcadams             6     0.1646               0.00               1.44
formant+mcadams             7     0.7342               0.00               1.44
formant+mcadams             8     0.1392               0.00              34.00
formant+mcadams             9     0.9241               0.00               1.44
formant+mcadams            10     0.6835               0.00               1.78
formant+mcadams            11     0.0506               0.00               0.00
formant+mcadams            12     0.5823               0.00               1.44
formant+mcadams            13     0.4304               0.00               0.00
formant+mcadams            14     0.5696               0.00              34.00
formant+mcadams            15     0.3544               0.00               1.44
pitch+formant+mcadams       3     0.3077               0.00              25.55
pitch+formant+mcadams       4     0.9747               0.00              30.22
pitch+formant+mcadams       5     0.5513               0.00              13.33
pitch+formant+mcadams       6     1.0000               0.00              12.22
pitch+formant+mcadams       7     0.4359               0.00               1.44
pitch+formant+mcadams       8     0.2051               0.00               0.00
pitch+formant+mcadams       9     0.4937               0.00               1.44
pitch+formant+mcadams      10     0.9615               0.00              12.22
pitch+formant+mcadams      11     0.1154               0.00              10.78
pitch+formant+mcadams      12     0.4937               0.00              24.45
pitch+formant+mcadams      13     0.3671               0.00              15.11
pitch+formant+mcadams      14     0.5256               0.00              30.56
pitch+formant+mcadams      15     0.4810               0.00              30.56
