WER/EER Summary
Generated: 2026-03-09 15:46:34
Config: list1, speaker3
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.0864               6.76              21.28
pitch                       4     0.0494              10.88              14.97
pitch                       5     0.0617               9.52               9.52
pitch                       6     0.0494               8.16               9.52
pitch                       7     0.0247               8.16               9.52
pitch                       8     0.0000               9.46               9.46
pitch                       9     0.0122               9.46               9.46
pitch                      10     0.0123               9.46              10.81
pitch                      11     0.0500               8.16               9.52
pitch                      12     0.0494               8.16              14.97
pitch                      13     0.0247               9.18              10.88
pitch                      14     0.0370               9.46              13.17
pitch                      15     0.0500               9.46              14.53
formant                     3     0.0000               9.46               9.46
formant                     4     0.0122               8.16               8.16
formant                     5     0.0122               9.46               9.46
formant                     6     0.0123               8.16               8.16
formant                     7     0.0000               9.12               9.12
formant                     8     0.0000               9.46               9.46
formant                     9     0.0000               9.46               9.46
formant                    10     0.0000               9.46               9.46
formant                    11     0.0000               8.16               8.16
formant                    12     0.0370               8.16               8.16
formant                    13     0.0000               9.46              10.47
formant                    14     0.0370               8.16               8.16
formant                    15     0.0000               9.46               9.46
mcadams                     3     0.0494               9.46               8.11
mcadams                     4     0.0854               9.46               9.46
mcadams                     5     0.0864               8.16               6.80
mcadams                     6     0.1125               9.46               9.46
mcadams                     7     0.0988               9.46               9.46
mcadams                     8     0.1125               9.46               7.77
mcadams                     9     0.0864               9.46               8.11
mcadams                    10     0.1605               9.46               9.46
mcadams                    11     0.0494               8.16               8.16
mcadams                    12     0.0864               9.46               9.46
mcadams                    13     0.0610               8.16               9.52
mcadams                    14     0.0617               9.46              10.81
mcadams                    15     0.0864               8.16               6.80
pitch+formant               3     0.0988               9.46              24.33
pitch+formant               4     0.0617               9.18              13.61
pitch+formant               5     0.0494               9.46              12.16
pitch+formant               6     0.0247               8.16               9.52
pitch+formant               7     0.0000               9.52               9.52
pitch+formant               8     0.0000               9.46               9.46
pitch+formant               9     0.0370               8.16               8.16
pitch+formant              10     0.0123               8.16               9.52
pitch+formant              11     0.0122               9.46              10.81
pitch+formant              12     0.0370               9.46              13.52
pitch+formant              13     0.0123               9.46              10.81
pitch+formant              14     0.0494               9.46              13.17
pitch+formant              15     0.0370               9.46              14.53
pitch+mcadams               3     0.3704               8.16              33.67
pitch+mcadams               4     0.1728               9.46              18.92
pitch+mcadams               5     0.0864               9.46              14.53
pitch+mcadams               6     0.1750               9.46              12.16
pitch+mcadams               7     0.1481               8.16               8.16
pitch+mcadams               8     0.0864               8.16               6.80
pitch+mcadams               9     0.1481               8.16               9.52
pitch+mcadams              10     0.0750               9.46              10.81
pitch+mcadams              11     0.0247               9.46              10.81
pitch+mcadams              12     0.1605               8.16              13.61
pitch+mcadams              13     0.0854               9.46              14.87
pitch+mcadams              14     0.1235               9.52              13.26
pitch+mcadams              15     0.1358               9.46              18.92
formant+mcadams             3     0.0610               8.16               8.16
formant+mcadams             4     0.2346               9.46               8.11
formant+mcadams             5     0.2840               9.46               9.46
formant+mcadams             6     0.2593               9.46              10.81
formant+mcadams             7     0.3537               9.46               9.46
formant+mcadams             8     0.0864               9.46               9.46
formant+mcadams             9     0.9024               9.46              12.16
formant+mcadams            10     0.9630               8.16               9.52
formant+mcadams            11     0.0617               8.16               8.16
formant+mcadams            12     1.0000               9.46              10.81
formant+mcadams            13     0.3210               8.16               8.16
formant+mcadams            14     0.2593               9.46               8.11
formant+mcadams            15     0.2927               8.16               9.52
pitch+formant+mcadams       3     0.2963               8.16              25.85
pitch+formant+mcadams       4     1.0000               9.46              33.45
pitch+formant+mcadams       5     0.9630               9.46              15.88
pitch+formant+mcadams       6     0.3827               8.16              14.62
pitch+formant+mcadams       7     0.9012               9.46              12.16
pitch+formant+mcadams       8     0.0854               9.46               9.46
pitch+formant+mcadams       9     0.9634               9.46               9.46
pitch+formant+mcadams      10     0.4444               8.16              16.33
pitch+formant+mcadams      11     0.0750               8.16              14.97
pitch+formant+mcadams      12     0.3580               9.46              18.92
pitch+formant+mcadams      13     0.2593               8.16              12.25
pitch+formant+mcadams      14     0.3902               8.16              20.41
pitch+formant+mcadams      15     0.3951               9.46              19.93
