WER/EER Summary
Generated: 2026-03-09 16:27:29
Config: list2, speaker1
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.0127              10.43              29.43
pitch                       4     0.0000               9.50              25.61
pitch                       5     0.0127              10.43              16.45
pitch                       6     0.0000              10.43              12.98
pitch                       7     0.0000              10.43               9.50
pitch                       8     0.0000               9.50               9.50
pitch                       9     0.0000              10.43              10.43
pitch                      10     0.0127              10.43              11.70
pitch                      11     0.0127               9.50              26.89
pitch                      12     0.0127               9.50              50.64
pitch                      13     0.0253              11.70              61.07
pitch                      14     0.0506               9.56              63.99
pitch                      15     0.1266              10.43              68.36
formant                     3     0.0127              10.43              10.43
formant                     4     0.0000               9.56               9.56
formant                     5     0.0256               9.50               9.50
formant                     6     0.0000               9.50               9.50
formant                     7     0.0000               9.56               9.56
formant                     8     0.0000               9.50               9.50
formant                     9     0.0000               9.50               9.50
formant                    10     0.0127               9.50               9.50
formant                    11     0.0127               9.50               9.50
formant                    12     0.0127               9.50              10.43
formant                    13     0.0127              10.84              10.84
formant                    14     0.0380               9.50               9.50
formant                    15     0.0127              11.70              10.77
mcadams                     3     0.0380              10.43              12.05
mcadams                     4     0.0506               9.56              13.05
mcadams                     5     0.1392               9.50              12.98
mcadams                     6     0.1026               9.50              16.45
mcadams                     7     0.0897               9.50              12.98
mcadams                     8     0.1667               9.50              12.98
mcadams                     9     0.1899              10.84              13.05
mcadams                    10     0.1646              10.84              15.27
mcadams                    11     0.0380               9.50              11.70
mcadams                    12     0.0633               9.50              13.91
mcadams                    13     0.1139               9.56              13.05
mcadams                    14     0.0769               9.50              14.25
mcadams                    15     0.1013               9.50              11.70
pitch+formant               3     0.0127               9.50              33.84
pitch+formant               4     0.0000               9.50              23.75
pitch+formant               5     0.0125               9.50              12.98
pitch+formant               6     0.0253               9.56              11.77
pitch+formant               7     0.0380              10.43              10.43
pitch+formant               8     0.0127               9.50               9.50
pitch+formant               9     0.0253              10.43              10.43
pitch+formant              10     0.0380              10.43              12.05
pitch+formant              11     0.0253               9.50              24.68
pitch+formant              12     0.1026              10.43              47.16
pitch+formant              13     0.0633               9.56              57.00
pitch+formant              14     0.1013               9.50              63.27
pitch+formant              15     0.0886              10.43              68.36
pitch+mcadams               3     0.1013               9.50              34.18
pitch+mcadams               4     0.2821               9.50              43.34
pitch+mcadams               5     0.2025               9.50              33.84
pitch+mcadams               6     0.1266               9.56              17.83
pitch+mcadams               7     0.1899               9.50              16.45
pitch+mcadams               8     0.1538               9.50              11.70
pitch+mcadams               9     0.2179              10.43              24.68
pitch+mcadams              10     0.1646              10.43              45.89
pitch+mcadams              11     0.0886              10.84              43.94
pitch+mcadams              12     0.1772               9.56              59.56
pitch+mcadams              13     0.1772               9.50              66.16
pitch+mcadams              14     0.4557               9.50              61.41
pitch+mcadams              15     0.3291               9.56              60.84
formant+mcadams             3     0.0506               9.50              12.98
formant+mcadams             4     0.3718               9.50              22.48
formant+mcadams             5     0.2949               9.56              15.61
formant+mcadams             6     0.2658               9.50              20.27
formant+mcadams             7     0.4615               9.50              19.00
formant+mcadams             8     0.2025               9.50              12.98
formant+mcadams             9     0.4304               9.50              17.39
formant+mcadams            10     0.5443               9.56              27.39
formant+mcadams            11     0.0633               9.50              11.70
formant+mcadams            12     0.5513               8.28              27.39
formant+mcadams            13     0.2658               9.50              15.18
formant+mcadams            14     0.4177               9.56              23.55
formant+mcadams            15     0.3333               9.50              19.93
pitch+formant+mcadams       3     0.0506               9.50              32.91
pitch+formant+mcadams       4     0.4872               9.56              52.22
pitch+formant+mcadams       5     0.4487               9.50              42.41
pitch+formant+mcadams       6     0.3291               9.56              29.95
pitch+formant+mcadams       7     0.4231               9.56              21.33
pitch+formant+mcadams       8     0.1266              10.84              11.77
pitch+formant+mcadams       9     0.4359               9.50              42.41
pitch+formant+mcadams      10     0.7692               9.50              57.93
pitch+formant+mcadams      11     0.1538               8.28              51.28
pitch+formant+mcadams      12     0.8846              10.84              78.67
pitch+formant+mcadams      13     0.7179              10.84              65.27
pitch+formant+mcadams      14     1.0000              10.43              84.82
pitch+formant+mcadams      15     1.0000              10.43              68.36
