WER/EER Summary
Generated: 2026-03-09 15:46:12
Config: list1, speaker2
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.1000               3.27              40.52
pitch                       4     0.0750               1.47              24.83
pitch                       5     0.0375               7.67               9.48
pitch                       6     0.0250               9.48               7.67
pitch                       7     0.0250               7.67               7.67
pitch                       8     0.0000               3.27               3.27
pitch                       9     0.0250               3.27               3.27
pitch                      10     0.0625               1.81               3.27
pitch                      11     0.0375               3.27               3.27
pitch                      12     0.1125               2.91               5.82
pitch                      13     0.0875               4.74               7.67
pitch                      14     0.1000               3.27              17.16
pitch                      15     0.1000               3.27              34.31
formant                     3     0.0125               4.74               4.74
formant                     4     0.0000               4.74               4.74
formant                     5     0.0000               4.74               4.74
formant                     6     0.0000               3.27               3.27
formant                     7     0.0000               3.27               3.27
formant                     8     0.0000               2.91               2.91
formant                     9     0.0000               4.70               2.91
formant                    10     0.0250               3.27               3.27
formant                    11     0.0000               3.27               3.27
formant                    12     0.0125               2.93               3.27
formant                    13     0.0000               2.91               2.91
formant                    14     0.0250               3.27               3.27
formant                    15     0.0000               3.27               3.27
mcadams                     3     0.1500               3.27               4.74
mcadams                     4     0.1500               6.21               6.21
mcadams                     5     0.1375               3.27               4.74
mcadams                     6     0.1500               4.70               4.70
mcadams                     7     0.2000               2.91               2.91
mcadams                     8     0.1500               2.91               4.70
mcadams                     9     0.2500               3.27               3.27
mcadams                    10     0.1500               3.27               4.74
mcadams                    11     0.0625               3.27               6.21
mcadams                    12     0.2000               3.27               4.74
mcadams                    13     0.1750               3.27               4.74
mcadams                    14     0.2250               4.40               4.74
mcadams                    15     0.1750               2.91               2.91
pitch+formant               3     0.0875               3.27              40.52
pitch+formant               4     0.0750               2.91              18.82
pitch+formant               5     0.0625               3.25               6.16
pitch+formant               6     0.0125               4.70               4.70
pitch+formant               7     0.0125               3.27               4.74
pitch+formant               8     0.0000               3.27               3.27
pitch+formant               9     0.0375               3.27               3.27
pitch+formant              10     0.0988               4.70               4.70
pitch+formant              11     0.0625               4.70               4.70
pitch+formant              12     0.0875               4.74               4.74
pitch+formant              13     0.0750               4.74               7.67
pitch+formant              14     0.1500               4.74              17.50
pitch+formant              15     0.1375               4.74              42.33
pitch+mcadams               3     0.5500               3.27              31.38
pitch+mcadams               4     0.4000               4.36              24.64
pitch+mcadams               5     0.3500               4.74              20.43
pitch+mcadams               6     0.1000               1.47               7.67
pitch+mcadams               7     0.3125               4.74               3.27
pitch+mcadams               8     0.1500               4.74               6.21
pitch+mcadams               9     0.2625               4.74               6.21
pitch+mcadams              10     0.2125               3.25               4.70
pitch+mcadams              11     0.1500               4.74               4.74
pitch+mcadams              12     0.2000               4.74              10.95
pitch+mcadams              13     0.2000               2.91              21.39
pitch+mcadams              14     0.3375               4.74              40.52
pitch+mcadams              15     0.3750               4.40              51.47
formant+mcadams             3     0.1125               2.91               6.16
formant+mcadams             4     0.2875               2.91               5.82
formant+mcadams             5     0.2125               1.47               3.27
formant+mcadams             6     0.2500               2.91               4.70
formant+mcadams             7     0.2250               2.91               4.70
formant+mcadams             8     0.1625               2.91               6.16
formant+mcadams             9     0.3625               4.70               4.70
formant+mcadams            10     0.5926               3.27               6.21
formant+mcadams            11     0.1750               3.27               6.21
formant+mcadams            12     0.6250               3.27               6.21
formant+mcadams            13     0.3875               3.27               4.74
formant+mcadams            14     0.5750               3.27               3.27
formant+mcadams            15     0.3000               3.27               3.27
pitch+formant+mcadams       3     0.5500               6.21              38.71
pitch+formant+mcadams       4     0.5875               3.27              33.19
pitch+formant+mcadams       5     0.4625               1.47              18.62
pitch+formant+mcadams       6     0.4750               3.25              17.02
pitch+formant+mcadams       7     0.3250               4.74               7.67
pitch+formant+mcadams       8     0.1000               3.27               6.21
pitch+formant+mcadams       9     0.5375               3.27               4.74
pitch+formant+mcadams      10     0.6250               4.74              12.41
pitch+formant+mcadams      11     0.2250               4.74               6.21
pitch+formant+mcadams      12     0.5000               4.70              12.32
pitch+formant+mcadams      13     0.3750               3.25              27.54
pitch+formant+mcadams      14     0.5625               3.27              46.73
pitch+formant+mcadams      15     0.5000               3.27              54.74
