WER/EER Summary
Generated: 2026-03-09 15:45:25
Config: list1, speaker1
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.0494               8.23              32.91
pitch                       4     0.0123               9.50              32.91
pitch                       5     0.0000               8.28              19.11
pitch                       6     0.0000               8.23              11.70
pitch                       7     0.0000               9.16              10.43
pitch                       8     0.0000               9.50               9.50
pitch                       9     0.0123              10.43              10.43
pitch                      10     0.0123              10.43              12.98
pitch                      11     0.0123              10.43              26.89
pitch                      12     0.0000               9.56              51.28
pitch                      13     0.0123               9.56              66.55
pitch                      14     0.0370               9.50              71.84
pitch                      15     0.0370              10.43              69.29
formant                     3     0.0000               9.50               9.50
formant                     4     0.0000               9.50               9.50
formant                     5     0.0000               8.23               8.23
formant                     6     0.0000               8.23               8.23
formant                     7     0.0000               9.16               9.16
formant                     8     0.0000               8.23               8.23
formant                     9     0.0000               9.50               8.23
formant                    10     0.0000               8.23               8.23
formant                    11     0.0000               8.23               8.23
formant                    12     0.0123               9.50               8.23
formant                    13     0.0000               8.23               8.23
formant                    14     0.0000               8.28               8.28
formant                    15     0.0000               9.16               9.16
mcadams                     3     0.0123               8.23              10.43
mcadams                     4     0.0741               8.23              11.70
mcadams                     5     0.0370               8.23              15.18
mcadams                     6     0.0370               9.16              11.70
mcadams                     7     0.0617               8.23              13.91
mcadams                     8     0.1728               9.50              12.05
mcadams                     9     0.0247               8.23              15.52
mcadams                    10     0.0864               9.50              12.98
mcadams                    11     0.0370               8.28               9.56
mcadams                    12     0.0864               8.23              11.70
mcadams                    13     0.0494               8.28              14.33
mcadams                    14     0.0617               8.28              13.05
mcadams                    15     0.0864               9.50              13.91
pitch+formant               3     0.0123               9.50              27.23
pitch+formant               4     0.0123               8.23              18.66
pitch+formant               5     0.0123               8.28              17.83
pitch+formant               6     0.0000               8.28              12.12
pitch+formant               7     0.0000               8.23               8.23
pitch+formant               8     0.0000               8.62               8.62
pitch+formant               9     0.0000               8.23               9.50
pitch+formant              10     0.0123               8.23              11.70
pitch+formant              11     0.0000               8.23              30.71
pitch+formant              12     0.0123               9.50              58.86
pitch+formant              13     0.0000               9.50              68.36
pitch+formant              14     0.0741               8.23              74.05
pitch+formant              15     0.0617               8.23              67.09
pitch+mcadams               3     0.0988               8.23              36.73
pitch+mcadams               4     0.0988               8.23              48.09
pitch+mcadams               5     0.1235               8.28              40.44
pitch+mcadams               6     0.1358               8.28              23.89
pitch+mcadams               7     0.0494               8.23              18.66
pitch+mcadams               8     0.0741               8.28              11.77
pitch+mcadams               9     0.0617               8.23              25.95
pitch+mcadams              10     0.0741               8.23              30.71
pitch+mcadams              11     0.0494               8.28              50.94
pitch+mcadams              12     0.0494               8.23              63.61
pitch+mcadams              13     0.0370               8.28              73.89
pitch+mcadams              14     0.0988               8.28              70.39
pitch+mcadams              15     0.2716               8.23              65.82
formant+mcadams             3     0.0247               8.28              10.84
formant+mcadams             4     0.1728               8.23              17.73
formant+mcadams             5     0.0741               8.28              15.27
formant+mcadams             6     0.0988               8.28              14.33
formant+mcadams             7     0.1358               9.50              14.25
formant+mcadams             8     0.1852               8.23              11.70
formant+mcadams             9     0.1111               8.28              19.11
formant+mcadams            10     0.1852               8.23              28.16
formant+mcadams            11     0.0247              10.84              13.05
formant+mcadams            12     0.1235               8.28              21.33
formant+mcadams            13     0.0494               8.23              12.98
formant+mcadams            14     0.1728               8.23              23.41
formant+mcadams            15     0.0864               9.50              19.93
pitch+formant+mcadams       3     0.1235               8.23              40.21
pitch+formant+mcadams       4     0.1605               8.23              58.86
pitch+formant+mcadams       5     0.1605               8.23              52.84
pitch+formant+mcadams       6     0.1235               8.23              41.14
pitch+formant+mcadams       7     0.1728               8.23              23.41
pitch+formant+mcadams       8     0.1481               8.23              11.70
pitch+formant+mcadams       9     0.1481               8.28              30.89
pitch+formant+mcadams      10     0.3086               8.28              43.94
pitch+formant+mcadams      11     0.0247               8.28              51.28
pitch+formant+mcadams      12     0.2716               8.23              75.32
pitch+formant+mcadams      13     0.1852              10.84              75.17
pitch+formant+mcadams      14     0.5309               8.23              74.39
pitch+formant+mcadams      15     0.4198               8.23              65.82
