WER/EER Summary
Generated: 2026-03-09 16:51:01
Config: list3, speaker4
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.1235               0.00              18.34
pitch                       4     0.0988               0.00              10.78
pitch                       5     0.0494               0.00               9.00
pitch                       6     0.0625               0.00               2.89
pitch                       7     0.0750               0.00               0.00
pitch                       8     0.0123               0.00               0.00
pitch                       9     0.0247               0.00               0.00
pitch                      10     0.0375               0.00               3.23
pitch                      11     0.0864               0.00              10.78
pitch                      12     0.1728               0.00              10.78
pitch                      13     0.2222               0.00              12.22
pitch                      14     0.1481               0.00              13.33
pitch                      15     1.0000               0.00              23.97
formant                     3     0.0123               0.00               0.00
formant                     4     0.0125               0.00               0.00
formant                     5     0.0123               0.00               0.00
formant                     6     0.0617               0.00               0.00
formant                     7     0.0247               0.00               0.00
formant                     8     0.0000               0.00               0.00
formant                     9     0.0123               0.00               0.00
formant                    10     0.0375               0.00               0.00
formant                    11     0.0000               0.00               0.00
formant                    12     0.0125               0.00               0.00
formant                    13     0.0250               0.00               0.00
formant                    14     0.0123               0.00               0.00
formant                    15     0.0000               0.00               0.00
mcadams                     3     0.1235               0.00               0.00
mcadams                     4     0.1625               0.00               1.44
mcadams                     5     0.1605               0.00               1.44
mcadams                     6     0.1975               0.00               1.44
mcadams                     7     0.3210               0.00               1.44
mcadams                     8     0.3086               0.00               1.44
mcadams                     9     0.2716               0.00               2.89
mcadams                    10     0.3086               0.00               1.44
mcadams                    11     0.0864               1.44               1.44
mcadams                    12     0.2222               0.00               1.44
mcadams                    13     0.1605               0.00               1.44
mcadams                    14     0.1852               0.00               1.44
mcadams                    15     0.2375               0.00               2.89
pitch+formant               3     0.0380               1.44              18.34
pitch+formant               4     0.0864               1.44              12.22
pitch+formant               5     0.0370               0.00               4.33
pitch+formant               6     0.0370               0.00               2.89
pitch+formant               7     0.0494               0.00               0.00
pitch+formant               8     0.0000               0.00               0.00
pitch+formant               9     0.0625               0.00               0.00
pitch+formant              10     0.0750               0.00               2.89
pitch+formant              11     0.0741               0.00               6.11
pitch+formant              12     0.2875               0.00              11.88
pitch+formant              13     0.2222               0.00              13.67
pitch+formant              14     0.3457               0.00              15.11
pitch+formant              15     0.1852               0.00              15.11
pitch+mcadams               3     0.1358               0.00              36.33
pitch+mcadams               4     0.3704               0.00              37.78
pitch+mcadams               5     0.3580               0.00              21.56
pitch+mcadams               6     0.4568               0.00              12.22
pitch+mcadams               7     0.2099               0.00               3.23
pitch+mcadams               8     0.2875               0.00               1.44
pitch+mcadams               9     0.2716               0.00               4.33
pitch+mcadams              10     0.4568               0.00               7.21
pitch+mcadams              11     0.2099               0.00              10.44
pitch+mcadams              12     0.4074               0.00              21.22
pitch+mcadams              13     0.6420               0.00              24.11
pitch+mcadams              14     0.6420               0.00              19.78
pitch+mcadams              15     0.8889               0.00              18.34
formant+mcadams             3     0.0500               0.00              34.00
formant+mcadams             4     0.6296               0.00               6.11
formant+mcadams             5     0.5679               0.00               4.33
formant+mcadams             6     0.7407               0.00               4.67
formant+mcadams             7     0.6750               0.00               2.89
formant+mcadams             8     0.3827               0.00               1.78
formant+mcadams             9     1.0380               0.00               3.23
formant+mcadams            10     0.7778               0.00               3.23
formant+mcadams            11     0.0741               0.00               0.00
formant+mcadams            12     0.9630               0.00               2.89
formant+mcadams            13     0.5432               0.00               3.23
formant+mcadams            14     0.7778               0.00               7.56
formant+mcadams            15     0.7750               0.00               4.67
pitch+formant+mcadams       3     0.1975               0.00              43.89
pitch+formant+mcadams       4     1.0000               0.00              44.23
pitch+formant+mcadams       5     1.0000               0.00              26.99
pitch+formant+mcadams       6     0.9506               0.00              34.89
pitch+formant+mcadams       7     0.6049               0.00               4.33
pitch+formant+mcadams       8     0.3210               0.00               0.00
pitch+formant+mcadams       9     0.9136               0.00               9.00
pitch+formant+mcadams      10     1.0000               0.00              24.11
pitch+formant+mcadams      11     0.2099               0.00              12.22
pitch+formant+mcadams      12     0.8889               0.00              33.11
pitch+formant+mcadams      13     0.8272               0.00              39.56
pitch+formant+mcadams      14     1.0000               0.00              51.44
pitch+formant+mcadams      15     0.9630               0.00              31.66
