WER/EER Summary
Generated: 2026-03-09 15:46:59
Config: list1, speaker4
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.0000               5.64              27.81
pitch                       4     0.0123               5.64              21.83
pitch                       5     0.0000               5.64              11.62
pitch                       6     0.0247               7.39               7.39
pitch                       7     0.0000               5.64               5.64
pitch                       8     0.0000               5.64               5.64
pitch                       9     0.0000               5.64               5.64
pitch                      10     0.0123               5.64               7.39
pitch                      11     0.0370               7.39               8.80
pitch                      12     0.0370               5.64              13.03
pitch                      13     0.0123               7.39              11.62
pitch                      14     0.0741               7.39              14.78
pitch                      15     0.1605               7.39              20.08
formant                     3     0.0000               5.64               5.64
formant                     4     0.0123               5.64               5.64
formant                     5     0.0000               5.64               5.64
formant                     6     0.0000               5.64               5.64
formant                     7     0.0000               7.39               7.39
formant                     8     0.0000               5.64               5.64
formant                     9     0.0000               7.39               7.39
formant                    10     0.0247               5.64               5.64
formant                    11     0.0000               7.39               7.39
formant                    12     0.0000               5.64               5.64
formant                    13     0.0000               5.64               5.64
formant                    14     0.0123               5.98               7.39
formant                    15     0.0123               7.39               7.39
mcadams                     3     0.0123               7.39               7.39
mcadams                     4     0.2346               5.64               5.98
mcadams                     5     0.1111               5.64               7.39
mcadams                     6     0.1728               5.64               5.64
mcadams                     7     0.2469               5.64               5.64
mcadams                     8     0.2469               5.98               8.80
mcadams                     9     0.2963               5.64               7.39
mcadams                    10     0.2346               5.64               7.39
mcadams                    11     0.0123               5.64               7.39
mcadams                    12     0.1975               5.64               5.64
mcadams                    13     0.1111               5.64               7.39
mcadams                    14     0.2099               5.64               7.39
mcadams                    15     0.2222               5.64               7.39
pitch+formant               3     0.0000               7.39              26.40
pitch+formant               4     0.0123               7.39              24.31
pitch+formant               5     0.0000               5.64              15.85
pitch+formant               6     0.0000               5.64               8.80
pitch+formant               7     0.0123               5.64               5.64
pitch+formant               8     0.0000               5.64               5.64
pitch+formant               9     0.0000               5.64               5.64
pitch+formant              10     0.0000               5.64               8.46
pitch+formant              11     0.0000               5.64               8.80
pitch+formant              12     0.0988               5.64              11.62
pitch+formant              13     0.0370               5.64              16.19
pitch+formant              14     0.2469               5.64              13.03
pitch+formant              15     0.1605               5.64              17.60
pitch+mcadams               3     0.0741               5.64              37.68
pitch+mcadams               4     0.1975               5.64              35.92
pitch+mcadams               5     0.2716               5.64              33.45
pitch+mcadams               6     0.2716               5.64              11.28
pitch+mcadams               7     0.2593               5.64               8.80
pitch+mcadams               8     0.1235               5.64               7.39
pitch+mcadams               9     0.4568               5.64               7.39
pitch+mcadams              10     0.2346               5.64               7.39
pitch+mcadams              11     0.0370               5.64              10.21
pitch+mcadams              12     0.4815               5.64              18.67
pitch+mcadams              13     0.6667               5.64              19.01
pitch+mcadams              14     0.8272               5.64              18.67
pitch+mcadams              15     0.9506               5.64              10.21
formant+mcadams             3     0.0000               7.39               8.80
formant+mcadams             4     0.6296               5.64               7.39
formant+mcadams             5     0.6173               5.64               5.64
formant+mcadams             6     0.7778               5.64               7.05
formant+mcadams             7     0.5679               5.64               8.46
formant+mcadams             8     0.2222               4.57               8.80
formant+mcadams             9     0.9506               5.64               8.46
formant+mcadams            10     0.8519               5.64               8.80
formant+mcadams            11     0.0494               5.64               8.80
formant+mcadams            12     1.0000               5.64               8.46
formant+mcadams            13     0.6173               5.64               5.64
formant+mcadams            14     1.0247               5.64               4.23
formant+mcadams            15     0.6914               5.64               8.80
pitch+formant+mcadams       3     0.0617               7.39              36.27
pitch+formant+mcadams       4     0.9753               5.64              48.95
pitch+formant+mcadams       5     0.9630               5.64              26.06
pitch+formant+mcadams       6     0.7654               5.64              24.31
pitch+formant+mcadams       7     0.9753               5.64               8.80
pitch+formant+mcadams       8     0.2469               7.39               8.46
pitch+formant+mcadams       9     1.0123               5.64               8.46
pitch+formant+mcadams      10     1.0000               5.64              18.67
pitch+formant+mcadams      11     0.1111               5.64              11.62
pitch+formant+mcadams      12     1.0000               5.64              18.67
pitch+formant+mcadams      13     0.8272               5.64              29.22
pitch+formant+mcadams      14     1.0000               5.64              36.27
pitch+formant+mcadams      15     1.0000               5.64              26.06
