WER/EER Summary
Generated: 2026-03-09 16:46:59
Config: list2, speaker3
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.1519               0.00              21.55
pitch                       4     0.0759               0.00              11.29
pitch                       5     0.0253               0.00               3.27
pitch                       6     0.0000               0.00               1.45
pitch                       7     0.0000               0.00               0.00
pitch                       8     0.0000               0.00               0.00
pitch                       9     0.0000               0.00               0.00
pitch                      10     0.0127               0.00               1.81
pitch                      11     0.0127               0.00               6.21
pitch                      12     0.0127               0.00              10.95
pitch                      13     0.0000               0.00               7.67
pitch                      14     0.0000               0.00              10.95
pitch                      15     0.0127               0.00              12.41
formant                     3     0.0000               0.00               0.00
formant                     4     0.0127               0.00               0.00
formant                     5     0.0000               0.00               0.00
formant                     6     0.0127               0.00               0.00
formant                     7     0.0000               0.00               0.00
formant                     8     0.0000               0.00               0.00
formant                     9     0.0127               0.00               0.00
formant                    10     0.0000               0.00               0.00
formant                    11     0.0000               0.00               0.00
formant                    12     0.0127               0.00               0.00
formant                    13     0.0000               0.00               0.00
formant                    14     0.0127               0.00               0.00
formant                    15     0.0000               0.00               0.00
mcadams                     3     0.0633               0.00               0.00
mcadams                     4     0.0633               0.00               0.00
mcadams                     5     0.1013               0.00              34.00
mcadams                     6     0.0886               0.00               0.00
mcadams                     7     0.0759               0.00               0.00
mcadams                     8     0.0633               0.00               0.00
mcadams                     9     0.2025               0.00               1.47
mcadams                    10     0.0759               0.00              34.00
mcadams                    11     0.0633               0.00               0.00
mcadams                    12     0.0506               0.00               0.00
mcadams                    13     0.0759               0.00               0.00
mcadams                    14     0.0886               0.00               0.00
mcadams                    15     0.0886               0.00               0.00
pitch+formant               3     0.1266               0.00              20.43
pitch+formant               4     0.0380               0.00              10.61
pitch+formant               5     0.0380               0.00               3.27
pitch+formant               6     0.0253               0.00               1.47
pitch+formant               7     0.0253               0.00               0.00
pitch+formant               8     0.0127               0.00               0.00
pitch+formant               9     0.0253               0.00               0.00
pitch+formant              10     0.0127               0.00               1.81
pitch+formant              11     0.0000               0.00               6.21
pitch+formant              12     0.0253               0.00               9.48
pitch+formant              13     0.0127               0.00               6.21
pitch+formant              14     0.0380               0.00              10.61
pitch+formant              15     0.0380               0.00              12.41
pitch+mcadams               3     0.2152               0.00              35.78
pitch+mcadams               4     0.4810               0.00              15.35
pitch+mcadams               5     0.1899               0.00               9.48
pitch+mcadams               6     0.1772               0.00               3.27
pitch+mcadams               7     0.1646               0.00               1.47
pitch+mcadams               8     0.0633               0.00               0.00
pitch+mcadams               9     0.1392               0.00               1.47
pitch+mcadams              10     0.0506               0.00               3.27
pitch+mcadams              11     0.0380               0.00              12.41
pitch+mcadams              12     0.0380               0.00              12.32
pitch+mcadams              13     0.0886               0.00              12.41
pitch+mcadams              14     0.1266               0.00              15.23
pitch+mcadams              15     0.0759               0.00              21.90
formant+mcadams             3     0.0506               0.00               0.00
formant+mcadams             4     0.2532               0.00               1.45
formant+mcadams             5     0.4810               0.00               1.47
formant+mcadams             6     0.1772               0.00               1.45
formant+mcadams             7     0.2785               0.00               1.47
formant+mcadams             8     0.1013               0.00               0.00
formant+mcadams             9     0.3165               0.00              34.00
formant+mcadams            10     0.5443               0.00               3.27
formant+mcadams            11     0.0380               0.00               0.00
formant+mcadams            12     0.6076               0.00               2.91
formant+mcadams            13     0.2532               0.00               1.47
formant+mcadams            14     0.6203               0.00               1.81
formant+mcadams            15     0.3797               0.00               1.45
pitch+formant+mcadams       3     0.3291               0.00              32.25
pitch+formant+mcadams       4     1.0000               0.00              20.43
pitch+formant+mcadams       5     0.6582               0.00              14.22
pitch+formant+mcadams       6     0.4051               0.00               7.67
pitch+formant+mcadams       7     0.4937               0.00               1.47
pitch+formant+mcadams       8     0.1013               0.00               1.47
pitch+formant+mcadams       9     0.4051               0.00               1.47
pitch+formant+mcadams      10     0.6203               0.00              17.16
pitch+formant+mcadams      11     0.0506               0.00              12.41
pitch+formant+mcadams      12     0.3797               0.00              23.36
pitch+formant+mcadams      13     0.2152               0.00              15.35
pitch+formant+mcadams      14     0.3291               0.00              33.19
pitch+formant+mcadams      15     0.3038               0.00              23.36
