WER/EER Summary
Generated: 2026-03-09 16:46:40
Config: list2, speaker2
Scanned files: 91 | Parsed: 91 | Missing: 0

method                     sw        WER   Baseline EER (%)       Anon EER (%)
------------------------------------------------------------------------------
pitch                       3     0.0380               0.00              32.80
pitch                       4     0.0506               0.00              18.00
pitch                       5     0.0253               0.00               3.19
pitch                       6     0.0253               1.94               1.94
pitch                       7     0.0380               0.00              34.00
pitch                       8     0.0000               0.00               0.00
pitch                       9     0.0000               0.00               0.00
pitch                      10     0.0000               0.00               0.00
pitch                      11     0.0000               0.00              34.00
pitch                      12     0.0127               0.00               1.94
pitch                      13     0.0506               0.00               9.00
pitch                      14     0.0886               0.00              14.46
pitch                      15     0.0759               0.00              28.93
formant                     3     0.0000               0.00               0.00
formant                     4     0.0127               0.00               0.00
formant                     5     0.0000               0.00               0.00
formant                     6     0.0000               0.00               0.00
formant                     7     0.0000               0.00               0.00
formant                     8     0.0000               0.00               0.00
formant                     9     0.0000               0.00               0.00
formant                    10     0.0000               0.00               0.00
formant                    11     0.0000               0.00               0.00
formant                    12     0.0127               0.00               0.00
formant                    13     0.0000               0.00               0.00
formant                    14     0.0000               0.00               0.00
formant                    15     0.0000               0.00               0.00
mcadams                     3     0.0633               0.00               0.00
mcadams                     4     0.1519               0.00               1.94
mcadams                     5     0.1139               0.00               1.94
mcadams                     6     0.1139               0.00               1.94
mcadams                     7     0.2152               0.00               1.94
mcadams                     8     0.1392               0.00              34.00
mcadams                     9     0.1392               0.00               1.94
mcadams                    10     0.3038               0.00               1.94
mcadams                    11     0.0506               0.00              34.00
mcadams                    12     0.1139               0.00               1.94
mcadams                    13     0.2278               0.00               1.94
mcadams                    14     0.2025               0.00               1.59
mcadams                    15     0.1899               0.00               1.94
pitch+formant               3     0.0633               0.00              30.87
pitch+formant               4     0.1139               0.00              19.59
pitch+formant               5     0.0127               0.00               1.94
pitch+formant               6     0.0127               0.00              34.00
pitch+formant               7     0.0000               0.00               0.00
pitch+formant               8     0.0000               0.00               0.00
pitch+formant               9     0.0000               0.00               0.00
pitch+formant              10     0.0127               0.00               0.00
pitch+formant              11     0.0127               0.00              34.00
pitch+formant              12     0.0506               0.00              34.00
pitch+formant              13     0.0759               0.00               5.81
pitch+formant              14     0.1139               0.00              16.06
pitch+formant              15     0.1646               0.00              29.27
pitch+mcadams               3     0.3924               0.00              28.93
pitch+mcadams               4     0.5443               0.00              28.93
pitch+mcadams               5     0.4430               0.00              18.34
pitch+mcadams               6     0.8101               0.00               5.47
pitch+mcadams               7     0.4684               0.00               3.53
pitch+mcadams               8     0.1013               0.00              34.00
pitch+mcadams               9     0.2152               0.00               0.00
pitch+mcadams              10     0.2405               0.00               5.47
pitch+mcadams              11     0.1139               0.00               3.53
pitch+mcadams              12     0.3038               0.00              11.28
pitch+mcadams              13     0.5316               0.00              25.74
pitch+mcadams              14     0.3671               0.00              36.67
pitch+mcadams              15     0.3671               0.00              51.14
formant+mcadams             3     0.0380               0.00              34.00
formant+mcadams             4     0.9114               0.00               3.53
formant+mcadams             5     0.5443               0.00               3.53
formant+mcadams             6     0.5443               0.00               7.40
formant+mcadams             7     0.5823               0.00               5.12
formant+mcadams             8     0.1646               0.00              34.00
formant+mcadams             9     1.0000               0.00               3.53
formant+mcadams            10     1.0000               0.00               5.47
formant+mcadams            11     0.1519               0.00               1.94
formant+mcadams            12     0.9114               0.00               5.47
formant+mcadams            13     1.0000               0.00               3.53
formant+mcadams            14     1.0000               0.00               5.47
formant+mcadams            15     0.9620               0.00               3.19
pitch+formant+mcadams       3     0.3038               0.00              35.99
pitch+formant+mcadams       4     1.0000               0.00              30.87
pitch+formant+mcadams       5     1.0000               0.00              19.93
pitch+formant+mcadams       6     0.7722               0.00              18.34
pitch+formant+mcadams       7     0.7468               0.00               9.34
pitch+formant+mcadams       8     0.1519               0.00               0.00
pitch+formant+mcadams       9     1.0000               0.00               5.47
pitch+formant+mcadams      10     1.0000               0.00              10.59
pitch+formant+mcadams      11     0.1519               0.00               9.00
pitch+formant+mcadams      12     1.0000               0.00              28.93
pitch+formant+mcadams      13     0.6709               0.00              30.52
pitch+formant+mcadams      14     1.0000               0.00              50.80
pitch+formant+mcadams      15     0.9241               0.00              45.33
